Ritmo_5K,Ritmo_10K,Ritmo_15K,Ritmo_20K,Ritmo_Half,Ritmo_25K,Ritmo_30K,Ritmo_35K,Ritmo_40K,Ritmo_Official Time
4.54,4.65,4.61,4.827,4.799,4.8,5.213,5.64,5.8,6.082
5.61,5.577,5.657,5.727,5.604,5.885,6.127,6.12,5.877,5.756
4.687,4.653,4.607,4.673,4.662,4.788,5.4,5.81,6.323,5.497
5.533,5.947,6.35,6.95,6.879,7.333,7.477,8.383,7.32,6.5
4.743,4.89,5.06,5.333,5.178,5.479,5.623,6.24,6.13,5.642
4.627,4.637,4.62,4.71,4.571,4.617,4.713,4.837,4.637,4.7
4.293,4.243,4.2,4.26,4.115,4.305,4.507,4.63,4.407,4.412
5.937,5.89,5.73,5.747,5.664,5.719,5.797,5.497,5.317,5.171
5.14,5.147,5.177,5.277,5.209,5.492,5.887,6.417,6.497,6.401
4.723,4.843,4.803,4.753,4.647,4.993,5.063,4.983,4.8,4.799
3.65,3.683,3.743,3.887,3.842,3.95,4.193,4.323,4.223,4.024
3.617,3.663,3.723,3.763,3.721,3.814,3.963,4.183,4.133,4.055
4.817,4.85,5.167,5.403,5.573,5.484,5.99,6.243,6.203,6.317
5.56,6.247,6.817,6.763,6.94,7.256,7.47,7.74,8.087,7.342
